Observation times,Time series values
Jan-91,228022.4
Feb-91,276727.5
Mar-91,270555
Apr-91,244135.2
May-91,274548.9
Jun-91,261039.1
Jul-91,262767.1
Aug-91,268428.1
Sep-91,272636.5
Oct-91,255115.6
Nov-91,270084.1
Dec-91,281669.9
Jan-92,220735.9
Feb-92,270418.3
Mar-92,268045
Apr-92,271610.6
May-92,269530
Jun-92,260201.2
Jul-92,262885.4
Aug-92,269181.2
Sep-92,271870.2
Oct-92,260312.7
Nov-92,267921.3
Dec-92,281638.5
Jan-93,216445.1
Feb-93,264350.3
Mar-93,271123.6
Apr-93,226351.2
May-93,272067
Jun-93,272984.9
Jul-93,262190.4
Aug-93,271644.8
Sep-93,273952.7
Oct-93,263345.8
Nov-93,276974.6
Dec-93,290154.9
Jan-94,204724.2
Feb-94,277893.6
Mar-94,279217.6
Apr-94,250686.6
May-94,282285.1
Jun-94,282784.7
Jul-94,275062.6
Aug-94,285315.1
Sep-94,285928.8
Oct-94,273913.3
Nov-94,285323.6
Dec-94,299684.7
Jan-95,209468.3
Feb-95,289657.8
Mar-95,290768.9
Apr-95,276985.4
May-95,292600
Jun-95,283511.9
Jul-95,282193
Aug-95,293384.9
Sep-95,295536.4
Oct-95,279605
Nov-95,296568.3
Dec-95,308272.4
Jan-96,213861.7
Feb-96,298062
Mar-96,293395
Apr-96,248104.4
May-96,295033.9
Jun-96,284772.7
Jul-96,282155.4
Aug-96,293863.8
Sep-96,296381.8
Oct-96,276305.3
Nov-96,295557.4
Dec-96,308045.9
Jan-97,249344
Feb-97,299193.8
Mar-97,294343.9
Apr-97,271218.9
May-97,296309.1
Jun-97,286968.6
Jul-97,282670.2
Aug-97,293964.2
Sep-97,299144.4
Oct-97,278090.5
Nov-97,300099.8
Dec-97,313907.4
Jan-98,247264.8
Feb-98,301710.9
Mar-98,296671.3
Apr-98,285398.7
May-98,299824.4
Jun-98,290828.4
Jul-98,290172.6
Aug-98,298005
Sep-98,302295.1
Oct-98,292541.8
Nov-98,303291.7
Dec-98,316904.2
Jan-99,243806.7
Feb-99,305945.6
Mar-99,302219.7
Apr-99,270276.1
May-99,305029.1
Jun-99,304370.9
Jul-99,293432
Aug-99,306385
Sep-99,309632.2
Oct-99,300310
Nov-99,311771.4
Dec-99,327898
Jan-00,233876.7
Feb-00,313601.9
Mar-00,312736.9
Apr-00,314184.1
May-00,314250.9
Jun-00,307966
Jul-00,306297.8
Aug-00,317064.6
Sep-00,316104.4
Oct-00,306132.6
Nov-00,314031.1
Dec-00,327003.8
Jan-01,222161
Feb-01,317075.6
Mar-01,309816.4
Apr-01,294723
May-01,317071.3
Jun-01,300807.1
Jul-01,303220.6
Aug-01,312576.1
Sep-01,316844.7
Oct-01,289232
Nov-01,314121.6
Dec-01,329513.3
Jan-02,268785.1
Feb-02,320156.2
Mar-02,316453.8
Apr-02,286407.7
May-02,318642.6
Jun-02,303334.3
Jul-02,305813.2
Aug-02,317234.3
Sep-02,322473.5
Oct-02,294035.7
Nov-02,322210.6
Dec-02,336872
Jan-03,273776
Feb-03,327687.6
Mar-03,321439.9
Apr-03,326095.8
May-03,323652.8
Jun-03,311082.3
Jul-03,311543.2
Aug-03,321756.6
Sep-03,326683.9
Oct-03,300806.4
Nov-03,326361.2
Dec-03,341851
Jan-04,270011.7
Feb-04,331985.5
Mar-04,326394.2
Apr-04,272302.7
May-04,329678.7
Jun-04,330072.5
Jul-04,313061
Aug-04,328261.6
Sep-04,333870.3
Oct-04,318873.9
Nov-04,332973.1
Dec-04,350070.5
Jan-05,249596.1
Feb-05,342172.7
Mar-05,342686.3
Apr-05,336111.1
May-05,341220.6
Jun-05,342004.6
Jul-05,329200.6
Aug-05,342938.8
Sep-05,340972.9
Oct-05,326944.3
Nov-05,340030.2
Dec-05,356908
Jan-06,243924.3
Feb-06,345639.6
Mar-06,346851.1
Apr-06,320740.2
May-06,349320.4
Jun-06,332402
Jul-06,339087.7
Aug-06,349764.3
Sep-06,352099.6
Oct-06,328479.5
Nov-06,350036.4
Dec-06,368277.7
Jan-07,243775.1
Feb-07,357246.5
Mar-07,352886.9
Apr-07,294522.3
May-07,360661.4
Jun-07,341025
Jul-07,342590.1
Aug-07,359057.4
Sep-07,358541
Oct-07,335061.4
Nov-07,362571.9
Dec-07,375093.7
Jan-08,310737.5
Feb-08,369681.6
Mar-08,362384.8
Apr-08,367092.4
May-08,369387.8
Jun-08,353524.6
Jul-08,357718.7
Aug-08,369002.2
Sep-08,372603.1
Oct-08,342149.2
Nov-08,367930.3
Dec-08,380631.7
Jan-09,301047.1
Feb-09,368581.9
Mar-09,360221.9
Apr-09,342358.5
May-09,363755.1
Jun-09,348544.2
Jul-09,350604.5
Aug-09,360275.7
Sep-09,367675
Oct-09,346394.6
Nov-09,367678.5
Dec-09,380462
Jan-10,290260.6
Feb-10,373726.8
Mar-10,362641.8
Apr-10,326378.4
May-10,374900.1
Jun-10,372710
Jul-10,354483.1
Aug-10,373157.1
Sep-10,377270.8
Oct-10,360715.7
Nov-10,376929.5
Dec-10,388394.3
Jan-11,271236.9
Feb-11,380817.3
Mar-11,381959
Apr-11,373435.6
May-11,377903.3
Jun-11,379238.5
Jul-11,362653
Aug-11,380911.5
Sep-11,381917.8
Oct-11,362075.8
Nov-11,381338
Dec-11,393828.3
Jan-12,266537.9
Feb-12,384157.8
Mar-12,380090.9
Apr-12,318000.4
May-12,388143.1
Jun-12,363747.4
Jul-12,363304
Aug-12,381171.5
Sep-12,385819.1
Oct-12,354548.4
Nov-12,383995.8
Dec-12,396057.9
Jan-13,246178.4
Feb-13,389535.7
Mar-13,379375.5
Apr-13,349080.9
May-13,388863
Jun-13,370103.2
Jul-13,370120.3
Aug-13,385934.9
Sep-13,387672.4
Oct-13,356072.5
Nov-13,384273.1
Dec-13,396267.2
Jan-14,321954.8
Feb-14,390618.5
Mar-14,384458
Apr-14,378080.1
May-14,392156.1
Jun-14,376465.8
Jul-14,369120.1
Aug-14,385563
Sep-14,383386.1
Oct-14,357867.2
Nov-14,385775.9
Dec-14,395728.8
Jan-15,320333.1
Feb-15,396899.1
Mar-15,390040.1
Apr-15,333573.2
May-15,398911.9
Jun-15,380090.1
Jul-15,374994.7
Aug-15,391252.5
Sep-15,393301.2
Oct-15,383223.6
Nov-15,396264.2
Dec-15,408906.6
Jan-16,318512.8
Feb-16,406178.7
Mar-16,401011
Apr-16,390314.7
May-16,399815.1
Jun-16,398009
Jul-16,380369.3
Aug-16,394615.4
Sep-16,394762.4
Oct-16,379478.5
Nov-16,397763.9
Dec-16,412931.6
Jan-17,285425.9
Feb-17,403078.1
Mar-17,404991.3
Apr-17,368111
May-17,410108.8
Jun-17,399228.8
Jul-17,386368.1
Aug-17,406989.2
Sep-17,407731.1
Oct-17,386556.2
Nov-17,415504.2
Dec-17,426188
Jan-18,279567
Feb-18,420242.5
Mar-18,410944.2
Apr-18,378967.8
May-18,417207.3
Jun-18,407707.3
Jul-18,399929.1
Aug-18,416034.8
Sep-18,416747.4
Oct-18,388504.7
Nov-18,420765.6
Dec-18,432783.1
Jan-19,366143.2
Feb-19,429058.2
Mar-19,422894.1
Apr-19,418522.9
May-19,424948.3
Jun-19,413409.2
Jul-19,407521.2
Aug-19,422296.2
Sep-19,424541.5
Oct-19,393151.9
Nov-19,426757.1
Dec-19,441895.7
Jan-20,359697.2
Feb-20,430807.7
Mar-20,420900.6
Apr-20,356686.8
May-20,383792.9
Jun-20,390178.4
Jul-20,387958.9
Aug-20,400894.9
,
